,lines_x,stations_x,Boro,2007,2008,2009,2010,2011,2012,2013,2012-2013 Change,12/13 %,2013 Rank,07/13 Change,7/13 %,index,lines_y,stations_y,3,4,k-means label
99,NQR ,49 St ,M,25410.0,25796.0,24487.0,25284.0,25480.0,25793.0,25356.0,-437.0,-1.7%,47.0,-54.0,-0.21251475796930344,49StNQR,NQR,49St,40.759901,-73.984139,0
100,EM ,5 Ave-53 St ,M,26411.0,26667.0,24027.0,23239.0,23970.0,24727.0,25939.0,1212.0,+4.9%,45.0,-472.0,-1.7871341486501837,5Ave-53StEM,EM,5Ave-53St,40.760167,-73.975224,0
101,NQR ,59 St ,M,17896.0,18894.0,17762.0,18200.0,18797.0,18816.0,18394.0,-422.0,-2.2%,72.0,498.0,2.782744747429593,59StNQR456,NQR456,59St,40.762526,-73.967967,0
102,D ,50 St ,B,3269.0,3279.0,3130.0,3129.0,3008.0,3172.0,3308.0,136.0,+4.3%,358.0,39.0,1.1930253900275314,50StD,D,50St,40.63626,-73.994791,0
103,1 ,50 St ,M,27141.0,26187.0,24388.0,24636.0,25062.0,25930.0,26192.0,262.0,+1.0%,44.0,-949.0,-3.4965550274492467,50St1,1,50St,40.761728,-73.983849,0
104,CE ,50 St ,M,18314.0,18776.0,17395.0,16936.0,17403.0,17892.0,19406.0,1514.0,+8.5%,69.0,1092.0,5.962651523424702,50StCE,CE,50St,40.762456,-73.985984,0
105,7 ,52 St ,Q,6516.0,6614.0,6388.0,6440.0,6596.0,6748.0,6830.0,82.0,+1.2%,217.0,314.0,4.81890730509515,52St7,7,52St,40.744149,-73.912549,0
106,R ,53 St ,B,7516.0,7648.0,7460.0,7423.0,7533.0,7476.0,7479.0,3.0,+0.0%,199.0,-37.0,-0.49228312932410856,53StR,R,53St,40.645069,-74.014034,0
107,D ,55 St ,B,2018.0,2046.0,1925.0,1944.0,1983.0,1859.0,1964.0,105.0,+5.6%,397.0,-54.0,-2.6759167492566895,55StD,D,55St,40.631435,-73.995476,0
108,F ,57 St ,M,15157.0,15267.0,13939.0,14426.0,15045.0,14743.0,15363.0,620.0,+4.2%,95.0,206.0,1.359108002902949,57StF,F,57St,40.763972,-73.97745,0
109,NQR ,57 St ,M,28494.0,29393.0,28121.0,27958.0,27497.0,28044.0,28159.0,115.0,+0.4%,37.0,-335.0,-1.1756861093563558,57StNQR,NQR,57St,40.764664,-73.980658,0
110,NR ,59 St ,B,11586.0,12020.0,11756.0,11979.0,11999.0,12317.0,12506.0,189.0,+1.5%,123.0,920.0,7.940617987225962,59StNR,NR,59St,40.641362,-74.017881,0
111,ABCD1 ,59 St ,M,65507.0,66969.0,65376.0,66058.0,67901.0,69653.0,72236.0,2583.0,+3.7%,7.0,6729.0,10.27218465202192,59StABCD1,ABCD1,59St,40.768296,-73.981736,0
112,ABCD1 ,59 St ,M,65507.0,66969.0,65376.0,66058.0,67901.0,69653.0,72236.0,2583.0,+3.7%,7.0,6729.0,10.27218465202192,59StABCD1,ABCD1,59St,40.768247,-73.981929,0
113,MR,63 Drive-Rego Park ,Q,15068.0,15171.0,14395.0,14940.0,15557.0,16056.0,16334.0,278.0,+1.7%,88.0,1266.0,8.401911335280063,63Drive-RegoParkMR,MR,63Drive-RegoPark,40.729846,-73.861604,0
114,MR,65 St ,Q,3283.0,3409.0,3296.0,3313.0,3448.0,3551.0,3532.0,-19.0,-0.5%,347.0,249.0,7.584526347852575,65StMR,MR,65St,40.749669,-73.898453,0
115,1 ,66 St ,M,22887.0,22623.0,21496.0,21717.0,22436.0,23305.0,23651.0,346.0,+1.5%,55.0,764.0,3.3381395552060122,66St1,1,66St,40.77344,-73.982209,0
116,MR,67 Ave ,Q,9283.0,9534.0,9317.0,9238.0,9333.0,9403.0,9475.0,72.0,+0.8%,169.0,192.0,2.0682968867822904,67AveMR,MR,67Ave,40.726523,-73.852719,0
117,6 ,68 St ,M,35708.0,36269.0,35323.0,34984.0,36026.0,36109.0,36562.0,453.0,+1.3%,30.0,854.0,2.39162092528285,68St6,6,68St,40.768141,-73.96387,0
118,7 ,69 St ,Q,4853.0,4927.0,4878.0,5031.0,4984.0,5031.0,5085.0,54.0,+1.1%,285.0,232.0,4.780548114568308,69St7,7,69St,40.746325,-73.896403,0
119,BQ ,7 Ave ,B,9093.0,9590.0,9568.0,9614.0,9615.0,9408.0,9389.0,-19.0,-0.2%,170.0,296.0,3.255251292202793,7AveBQ,BQ,7Ave,40.67705,-73.972367,0
120,FG ,7 Ave ,B,10999.0,10903.0,10643.0,11018.0,12792.0,12118.0,12268.0,150.0,+1.2%,125.0,1269.0,11.537412492044732,7AveFG,F,7Ave,40.666271,-73.980305,0
121,BDE ,7 Ave ,M,14476.0,14793.0,13887.0,14004.0,14530.0,14922.0,15800.0,878.0,+5.9%,90.0,1324.0,9.146172975960209,7AveBDE,BDE,7Ave,40.762862,-73.981637,0
122,D ,71 St ,B,4378.0,4538.0,4270.0,4365.0,3740.0,4007.0,4538.0,531.0,+13.3%,313.0,160.0,3.654636820465966,71StD,D,71St,40.619589,-73.998864,0
123,123 ,72 St ,M,35330.0,36311.0,36287.0,36900.0,39180.0,40271.0,40853.0,582.0,+1.4%,21.0,5523.0,15.632606849702801,72St123,123,72St,40.778453,-73.98197,3
124,BC ,72 St ,M,8062.0,8532.0,8245.0,8435.0,8679.0,8875.0,9067.0,192.0,+2.2%,175.0,1005.0,12.465889357479535,72StBC,BC,72St,40.775594,-73.97641,0
125,EFMR7,74-Bway ,Q,47675.0,49156.0,48426.0,49216.0,49828.0,50194.0,50841.0,647.0,+1.3%,16.0,3166.0,6.640797063450446,74-BwayEFMR7,EFMR7,74-Bway,40.746848,-73.891394,0
126,EF ,75 Ave ,Q,3752.0,3687.0,3595.0,3692.0,3811.0,3735.0,3763.0,28.0,+0.7%,340.0,11.0,0.2931769722814499,75AveEF,EF,75Ave,40.718331,-73.837324,0
127,JZ ,75 St ,Q,3619.0,3758.0,3737.0,3686.0,3714.0,3757.0,3759.0,2.0,+0.1%,341.0,140.0,3.8684719535783367,75StJZ,JZ,75St,40.691324,-73.867139,0
128,R ,77 St ,B,4960.0,5236.0,5080.0,5146.0,5228.0,5306.0,5353.0,47.0,+0.9%,277.0,393.0,7.923387096774194,77StR,R,77St,40.629742,-74.02551,0
129,6 ,77 St ,M,35200.0,36182.0,35288.0,35579.0,36607.0,36846.0,37182.0,336.0,+0.9%,28.0,1982.0,5.630681818181818,77St6,6,77St,40.77362,-73.959874,0
130,D ,79 St ,B,5659.0,5775.0,5577.0,5733.0,5554.0,5612.0,6293.0,681.0,+12.1%,240.0,634.0,11.20339282558756,79StD,D,79St,40.613501,-74.00061,0
131,1 ,79 St ,M,16721.0,16345.0,15802.0,15952.0,16276.0,16349.0,16576.0,227.0,+1.4%,85.0,-145.0,-0.8671730159679446,79St1,1,79St,40.783934,-73.979917,0
132,N ,8 Ave ,B,8956.0,9594.0,9987.0,10215.0,10480.0,10613.0,10873.0,260.0,+2.4%,147.0,1917.0,21.40464493077267,8AveN,N,8Ave,40.635064,-74.011719,3
